row_id,player_name,college,country,draft_number,draft_round,draft_year
4923,Darryl Watkins,Syracuse,USA,Undrafted,Undrafted,Undrafted
185,Darvin Ham,Texas Tech,USA,Undrafted,Undrafted,Undrafted
10355,Daryl Macon,Arkansas,USA,Undrafted,Undrafted,Undrafted
5902,David Andersen,None,USA,36,2,2002
719,David Benoit,Alabama,USA,Undrafted,Undrafted,Undrafted
3773,David Harrison,Colorado,USA,29,1,2004
4399,David Lee,Florida,USA,30,1,2005
4629,David Noel,North Carolina,USA,39,2,2006
9475,David Nwaba,None,USA,Undrafted,Undrafted,Undrafted
186,David Robinson,Navy,USA,1,1,1987
8132,David Stockton,Gonzaga,USA,Undrafted,Undrafted,Undrafted
1979,David Vanterpool,St. Bonaventure,USA,Undrafted,Undrafted,Undrafted
187,David Vaughn,Memphis,USA,25,1,1995
8133,David Wear,UCLA,USA,Undrafted,Undrafted,Undrafted
188,David Wesley,Baylor,USA,Undrafted,Undrafted,Undrafted
3316,David West,Xavier,USA,18,1,2003
189,David Wingate,Georgetown,USA,44,2,1986
110,David Wood,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted
9498,Davis Bertans,None,Latvia,42,2,2011
9685,Davon Reed,Miami,USA,32,2,2017
9686,De'Aaron Fox,Kentucky,USA,5,1,2017
10829,De'Andre Hunter,Virginia,USA,4,1,2019
10327,De'Anthony Melton,USC,USA,46,2,2018
5446,DeAndre Jordan,Texas A&M,USA,35,2,2008
6782,DeAndre Liggins,Kentucky,USA,53,2,2011
9501,DeAndre' Bembry,Saint Joseph's,USA,21,1,2016
5898,DeJuan Blair,Pittsburgh,USA,37,2,2009
724,DeJuan Wheat,Louisville,USA,51,2,1997
5897,DeMar DeRozan,Southern California,USA,9,1,2009
1350,DeMarco Johnson,North Carolina-Charlotte,USA,38,2,1998
6456,DeMarcus Cousins,Kentucky,USA,5,1,2010
5445,DeMarcus Nelson,Duke,USA,Undrafted,Undrafted,Undrafted
5895,DeMarre Carroll,Missouri,USA,27,1,2009
7512,DeQuan Jones,Miami (FL),USA,Undrafted,Undrafted,Undrafted
2447,DeSagana Diop,None,Senegal,8,1,2001
1789,DeShawn Stevenson,None,USA,23,1,2000
10300,DeVaughn Akoon-Purcell,Illinois State,Trinidad and Tobago,Undrafted,Undrafted,Undrafted
109,Dean Garrett,Indiana,USA,38,2,1988
2528,Dean Oliver,Iowa,USA,Undrafted,Undrafted,Undrafted
