StatsID,AvgPoints,AvgRebounds,AvgAssists,Net_Rating,Games_Played,OffRebounds,DefRebounds,TeamPlays,ShootingEff,AssistPct,Season_ID
401593,2.8,0.6,0.4,0.8,32,0.012,0.062,0.14400000000000002,0.564,0.078,301593
401594,4.9,1.5,1.1,18.8,10,0.031,0.079,0.147,0.546,0.10400000000000001,301594
401595,8.9,1.7,3.3,8.6,82,0.011000000000000001,0.084,0.207,0.569,0.285,301595
401596,1.7,2.0,0.4,3.7,63,0.124,0.22,0.16699999999999998,0.418,0.092,301596
401597,8.8,2.4,3.9,-11.4,62,0.02,0.085,0.192,0.46799999999999997,0.24100000000000002,301597
401598,4.1,3.1,1.1,0.6,54,0.042,0.14,0.13,0.415,0.092,301598
401599,12.0,9.2,0.8,1.5,68,0.111,0.213,0.183,0.529,0.039,301599
401600,13.3,3.8,1.7,-13.3,73,0.037000000000000005,0.098,0.212,0.48700000000000004,0.094,301600
401601,6.0,1.5,2.1,-10.3,8,0.013999999999999999,0.078,0.149,0.564,0.185,301601
401602,10.9,1.7,1.6,-3.7,47,0.015,0.073,0.27,0.462,0.134,301602
401603,16.6,7.7,1.9,0.4,79,0.087,0.14800000000000002,0.23800000000000002,0.5,0.086,301603
401604,25.7,5.8,3.9,3.6,82,0.052000000000000005,0.12,0.299,0.5429999999999999,0.195,301604
401605,5.2,1.6,2.4,-6.8,67,0.009000000000000001,0.096,0.146,0.51,0.20600000000000002,301605
401606,9.2,6.3,1.0,-0.4,79,0.109,0.207,0.20199999999999999,0.527,0.068,301606
401607,12.3,8.0,3.0,2.5,82,0.075,0.205,0.19,0.552,0.14800000000000002,301607
401608,2.5,1.6,0.1,-10.9,30,0.09699999999999999,0.14400000000000002,0.235,0.395,0.026000000000000002,301608
401609,9.4,2.5,3.3,-7.6,75,0.032,0.08199999999999999,0.204,0.484,0.23199999999999998,301609
401610,11.9,2.9,2.6,4.3,53,0.03,0.087,0.21899999999999997,0.518,0.16399999999999998,301610
401611,11.6,3.7,2.8,5.0,73,0.048,0.1,0.171,0.5710000000000001,0.136,301611
401612,10.9,4.0,2.1,1.6,76,0.042,0.141,0.201,0.562,0.138,301612
401613,3.8,1.8,1.1,-4.6,61,0.042,0.10300000000000001,0.161,0.451,0.122,301613
401614,1.3,1.0,1.7,-1.2,3,0.026000000000000002,0.053,0.124,0.231,0.192,301614
401615,9.2,3.4,1.8,-2.1,79,0.023,0.124,0.158,0.528,0.114,301615
401616,2.5,3.9,0.9,-12.8,67,0.102,0.205,0.132,0.392,0.106,301616
401617,10.1,3.4,0.9,-3.5,80,0.039,0.134,0.19699999999999998,0.555,0.067,301617
401618,15.4,6.3,3.3,0.4,79,0.084,0.146,0.24600000000000002,0.509,0.192,301618
401619,4.6,2.7,0.3,-3.4,10,0.07400000000000001,0.2,0.2,0.534,0.047,301619
401620,6.3,4.0,1.0,-4.6,74,0.1,0.17600000000000002,0.177,0.542,0.094,301620
401621,8.6,2.2,4.9,3.9,56,0.025,0.062,0.14800000000000002,0.601,0.252,301621
401622,14.9,3.8,2.5,9.1,82,0.055999999999999994,0.078,0.2,0.584,0.124,301622
401623,11.4,4.8,1.6,-1.6,61,0.067,0.126,0.218,0.47700000000000004,0.098,301623
401624,17.1,3.4,8.9,6.9,71,0.02,0.08800000000000001,0.22899999999999998,0.535,0.375,301624
401625,8.4,4.9,1.0,-7.6,22,0.10800000000000001,0.16899999999999998,0.22899999999999998,0.474,0.094,301625
401626,6.7,4.8,1.0,-0.1,82,0.031,0.213,0.132,0.545,0.068,301626
401627,9.4,2.8,3.3,13.0,68,0.018000000000000002,0.111,0.183,0.596,0.22699999999999998,301627
401628,11.9,7.6,0.6,3.3,57,0.08800000000000001,0.179,0.175,0.568,0.032,301628
401629,3.7,4.1,0.7,-8.0,22,0.129,0.27399999999999997,0.187,0.46,0.087,301629
401630,23.2,12.4,3.2,9.5,74,0.109,0.244,0.28600000000000003,0.555,0.152,301630
401631,13.4,2.9,7.4,7.4,52,0.018000000000000002,0.083,0.22699999999999998,0.5,0.368,301631
401632,5.7,4.6,1.1,5.0,82,0.08900000000000001,0.16399999999999998,0.145,0.49200000000000005,0.075,301632
401633,2.8,1.0,0.5,38.9,4,0.13,0.042,0.319,0.359,0.14300000000000002,301633
401634,11.8,4.2,1.4,-3.8,80,0.055999999999999994,0.129,0.21100000000000002,0.5489999999999999,0.092,301634
401635,2.2,1.4,0.2,-4.6,25,0.086,0.19,0.18100000000000002,0.49200000000000005,0.057,301635
